n,comparison,runtime
1000,258459,0.0 
2000,1017522,0.0 
3000,2211377,0.0 
4000,3985100,0.0 
5000,6246778,0.0 
6000,9162824,0.0 
7000,12186815,0.0 
8000,15931410,0.0 
9000,20174960,0.0 
10000,24934794,0.0 
11000,30356644,0.0 
12000,36070425,0.0 
13000,42454863,0.0 
14000,48994962,1.0 
15000,56368898,0.0 
16000,63847446,1.0 
17000,72546660,1.0 
18000,81334107,1.0 
19000,90878282,1.0 
20000,100073808,2.0 
21000,111031045,2.0 
22000,120932601,2.0 
23000,131317590,2.0 
24000,143100538,3.0 
25000,155294446,6.0 
26000,169226264,3.0 
27000,182169021,4.0 
28000,196711544,4.0 
29000,209702977,4.0 
30000,224447358,5.0 
31000,239376738,4.0 
32000,255700858,6.0 
33000,271731833,5.0 
34000,289618761,7.0 
35000,306624422,6.0 
36000,324228097,7.0 
37000,342447953,8.0 
38000,360607672,7.0 
39000,376559232,10.0 
40000,400669369,10.0 
41000,419832810,10.0 
42000,444816393,11.0 
43000,460484569,11.0 
44000,482104294,12.0 
45000,506995072,13.0 
46000,528623236,14.0 
47000,551664046,15.0 
48000,576896320,15.0 
49000,602480446,15.0 
50000,622934258,17.0 
51000,651098225,17.0 
52000,674414951,18.0 
53000,701373705,20.0 
54000,726558981,19.0 
55000,757817363,21.0 
56000,786208656,29.0 
57000,815589079,28.0 
58000,842100394,25.0 
59000,870849825,23.0 
60000,896882891,24.0 
61000,930151870,28.0 
62000,957558144,28.0 
63000,990566199,26.0 
64000,1025149976,26.0 
65000,1054456454,27.0 
66000,1086141257,29.0 
67000,1117892132,29.0 
68000,1153248274,35.0 
69000,1189533262,34.0 
70000,1219916014,33.0 
71000,1260902635,34.0 
72000,1297842881,35.0 
73000,1335359337,40.0 
74000,1368102790,46.0 
75000,1404091717,42.0 
76000,1446976619,40.0 
77000,1474964989,48.0 
78000,1530010319,47.0 
79000,1562457699,19.0 
80000,1599465149,17.0 
81000,1636419629,18.0 
82000,1683010410,18.0 
83000,1723714525,20.0 
84000,1767082287,19.0 
85000,1803247116,23.0 
86000,1852851095,25.0 
87000,1896692318,21.0 
88000,1937346062,25.0 
89000,1976137653,26.0 
90000,2024440391,25.0 
91000,2076840986,26.0 
92000,2116229096,30.0 
93000,2164278504,29.0 
94000,2206595479,31.0 
95000,2247072050,27.0 
96000,2303763717,30.0 
97000,2347773578,30.0 
98000,2393621827,32.0 
99000,2451947872,38.0 
100000,2502304695,33.0 
