n,comparison,runtime
10000,2511254,43.0 
20000,4980650,42.0 
30000,7561271,43.0 
40000,10040841,56.0 
50000,12510249,61.0 
60000,15106901,77.0 
70000,17476843,82.0 
80000,20050481,82.0 
90000,22565657,95.0 
100000,25014100,101.0 
110000,27624550,125.0 
120000,30074180,187.0 
130000,32668484,188.0 
140000,35172603,169.0 
150000,37588848,211.0 
160000,40123567,250.0 
170000,42600163,219.0 
180000,45120258,253.0 
190000,47523174,259.0 
200000,50035912,256.0 
210000,52665009,291.0 
220000,55146500,276.0 
230000,57468135,253.0 
240000,60104120,360.0 
250000,62653849,337.0 
260000,65123068,352.0 
270000,67660987,338.0 
280000,70146775,290.0 
290000,72626293,346.0 
300000,75262640,315.0 
310000,77739401,347.0 
320000,80382695,317.0 
330000,82836483,386.0 
340000,85243579,485.0 
350000,87515383,369.0 
360000,90205215,364.0 
370000,92801026,383.0 
380000,95242142,534.0 
390000,97691856,392.0 
400000,100043893,437.0 
410000,102929707,398.0 
420000,105570022,444.0 
430000,107659140,430.0 
440000,110258457,443.0 
450000,112900847,467.0 
460000,115490629,464.0 
470000,117863454,477.0 
480000,120507385,472.0 
490000,123017259,542.0 
500000,125475814,513.0 
510000,127593445,596.0 
520000,130366129,539.0 
530000,132783551,560.0 
540000,135389096,560.0 
550000,138029389,673.0 
560000,140179177,629.0 
570000,142959410,568.0 
580000,145582620,640.0 
590000,147791946,636.0 
600000,150409041,637.0 
610000,152927353,579.0 
620000,155341941,597.0 
630000,158047536,627.0 
640000,160442305,603.0 
650000,163039062,618.0 
660000,165748038,608.0 
670000,168129086,610.0 
680000,170538745,699.0 
690000,172946609,614.0 
700000,175444632,655.0 
710000,178126833,678.0 
720000,180734072,702.0 
730000,183053900,753.0 
740000,185627634,666.0 
750000,187931954,743.0 
760000,190542270,763.0 
770000,192969519,841.0 
780000,195585507,710.0 
790000,198065371,715.0 
800000,200361885,724.0 
810000,203034761,821.0 
820000,205430591,957.0 
830000,208096838,783.0 
840000,210455853,878.0 
850000,213202806,875.0 
860000,215630677,785.0 
870000,218308047,874.0 
880000,220629743,862.0 
890000,223132564,928.0 
900000,225924295,848.0 
910000,228388919,877.0 
920000,230581260,940.0 
930000,233219652,876.0 
940000,235441137,897.0 
950000,238215875,1021.0 
960000,240785075,843.0 
970000,242987311,862.0 
980000,245572610,1148.0 
990000,247906898,912.0 
1000000,250842024,916.0 
