n,comparison,runtime
100000,1541160,0.0 
200000,3281291,0.0 
300000,5098602,0.0 
400000,6962175,0.0 
500000,8861595,0.0 
600000,10797079,0.0 
700000,12754630,0.0 
800000,14724631,0.0 
900000,16720783,0.0 
1000000,18724033,0.0 
1100000,20749131,0.0 
1200000,22796797,0.0 
1300000,24846661,0.0 
1400000,26909453,0.0 
1500000,28976143,1.0 
1600000,31051270,1.0 
1700000,33144118,1.0 
1800000,35241689,1.0 
1900000,37344807,0.0 
2000000,39449271,1.0 
2100000,41557577,1.0 
2200000,43700088,1.0 
2300000,45843051,1.0 
2400000,47989490,1.0 
2500000,50141664,1.0 
2600000,52292541,1.0 
2700000,54453290,1.0 
2800000,56616880,2.0 
2900000,58782212,2.0 
3000000,60951386,5.0 
3100000,63120974,2.0 
3200000,65302613,3.0 
3300000,67495768,3.0 
3400000,69688754,3.0 
3500000,71886121,3.0 
3600000,74083276,3.0 
3700000,76281107,2.0 
3800000,78484205,3.0 
3900000,80690143,2.0 
4000000,82897769,2.0 
4100000,85106345,2.0 
4200000,87316324,3.0 
4300000,89558695,3.0 
4400000,91803031,3.0 
4500000,94046246,3.0 
4600000,96288385,3.0 
4700000,98530982,4.0 
4800000,100784099,3.0 
4900000,103032774,4.0 
5000000,105281629,3.0 
5100000,107532583,3.0 
5200000,109785841,3.0 
5300000,112042826,5.0 
5400000,114305321,4.0 
5500000,116573980,3.0 
5600000,118834859,4.0 
5700000,121098548,4.0 
5800000,123363632,5.0 
5900000,125634096,6.0 
6000000,127899012,4.0 
6100000,130169389,5.0 
6200000,132439582,5.0 
6300000,134710322,5.0 
6400000,137005040,5.0 
6500000,139298588,5.0 
6600000,141591065,4.0 
6700000,143884047,5.0 
6800000,146175878,5.0 
6900000,148474626,5.0 
7000000,150772427,5.0 
7100000,153069128,5.0 
7200000,155364732,5.0 
7300000,157662170,5.0 
7400000,159963749,6.0 
7500000,162269549,6.0 
7600000,164575446,6.0 
7700000,166880411,7.0 
7800000,169181107,6.0 
7900000,171489355,6.0 
8000000,173799965,7.0 
8100000,176105418,8.0 
8200000,178409975,5.0 
8300000,180720252,8.0 
8400000,183031982,8.0 
8500000,185371987,6.0 
8600000,187717297,7.0 
8700000,190057639,6.0 
8800000,192400942,6.0 
8900000,194742395,7.0 
9000000,197086689,7.0 
9100000,199430888,6.0 
9200000,201780323,6.0 
9300000,204123675,6.0 
9400000,206468677,7.0 
9500000,208814372,8.0 
9600000,211160844,6.0 
9700000,213515515,7.0 
9800000,215864323,7.0 
9900000,218215055,7.0 
10000000,220566041,7.0 
