n,comparison,runtime
100,451,0.0 
200,1090,1.0 
300,1823,1.0 
400,2583,3.0 
500,3391,3.0 
600,4241,2.0 
700,5099,7.0 
800,5957,4.0 
900,6836,4.0 
1000,7786,3.0 
1100,8683,8.0 
1200,9653,4.0 
1300,10599,9.0 
1400,11605,6.0 
1500,12504,5.0 
1600,13528,8.0 
1700,14521,6.0 
1800,15487,9.0 
1900,16485,7.0 
2000,17498,8.0 
2100,18573,7.0 
2200,19574,9.0 
2300,20691,11.0 
2400,21646,10.0 
2500,22752,9.0 
2600,23804,18.0 
2700,24803,10.0 
2800,25897,8.0 
2900,27047,7.0 
3000,28084,7.0 
3100,29139,12.0 
3200,30226,12.0 
3300,31312,13.0 
3400,32407,11.0 
3500,33577,10.0 
3600,34641,9.0 
3700,35743,11.0 
3800,36752,6.0 
3900,37859,7.0 
4000,39024,13.0 
4100,40162,12.0 
4200,41288,15.0 
4300,42374,15.0 
4400,43605,9.0 
4500,44737,10.0 
4600,45877,13.0 
4700,46961,9.0 
4800,48160,7.0 
4900,49336,8.0 
5000,50379,9.0 
5100,51641,7.0 
5200,52645,14.0 
5300,53934,11.0 
5400,55081,9.0 
5500,56211,5.0 
5600,57403,7.0 
5700,58632,8.0 
5800,59746,17.0 
5900,60955,11.0 
6000,62120,11.0 
6100,63289,8.0 
6200,64577,10.0 
6300,65667,10.0 
6400,66808,9.0 
6500,68022,11.0 
6600,69270,12.0 
6700,70484,12.0 
6800,71663,9.0 
6900,72742,13.0 
7000,74040,8.0 
7100,75270,16.0 
7200,76383,54.0 
7300,77557,17.0 
7400,78895,20.0 
7500,80006,9.0 
7600,81265,18.0 
7700,82377,27.0 
7800,83614,23.0 
7900,84828,11.0 
8000,86096,9.0 
8100,87316,11.0 
8200,88475,13.0 
8300,89771,9.0 
8400,90923,15.0 
8500,92285,13.0 
8600,93501,13.0 
8700,94683,17.0 
8800,95918,15.0 
8900,97212,19.0 
9000,98446,11.0 
9100,99704,11.0 
9200,100895,28.0 
9300,102135,15.0 
9400,103424,13.0 
9500,104786,10.0 
9600,106048,10.0 
9700,107139,14.0 
9800,108485,16.0 
9900,109639,12.0 
10000,110988,10.0 
