n,comparison,runtime
100000,1859194,0.0 
200000,4033441,0.0 
300000,6162818,0.0 
400000,8385865,0.0 
500000,10882598,0.0 
600000,12933637,0.0 
700000,15167878,0.0 
800000,17594970,0.0 
900000,19977675,0.0 
1000000,22490891,0.0 
1100000,25206480,1.0 
1200000,27554995,1.0 
1300000,29733222,1.0 
1400000,32487146,1.0 
1500000,34895961,2.0 
1600000,36984314,1.0 
1700000,39989452,1.0 
1800000,42471603,2.0 
1900000,45272837,1.0 
2000000,46745577,1.0 
2100000,49240338,1.0 
2200000,52621375,2.0 
2300000,54828133,2.0 
2400000,57795234,2.0 
2500000,59526200,2.0 
2600000,63773768,2.0 
2700000,65629132,2.0 
2800000,67267509,3.0 
2900000,70682063,4.0 
3000000,72734953,7.0 
3100000,76366536,5.0 
3200000,78674810,4.0 
3300000,83196207,5.0 
3400000,85902094,5.0 
3500000,85982666,5.0 
3600000,89358484,5.0 
3700000,91834900,5.0 
3800000,96172930,4.0 
3900000,96299992,4.0 
4000000,98331198,4.0 
4100000,103950936,4.0 
4200000,102612878,5.0 
4300000,107654058,5.0 
4400000,111058886,6.0 
4500000,113838311,6.0 
4600000,115622211,6.0 
4700000,119818288,7.0 
4800000,122172347,6.0 
4900000,125737587,7.0 
5000000,126871810,6.0 
5100000,134865853,6.0 
5200000,133207274,6.0 
5300000,134154971,9.0 
5400000,136491855,6.0 
5500000,141119555,7.0 
5600000,146258864,8.0 
5700000,144806861,7.0 
5800000,148991859,9.0 
5900000,151492622,10.0 
6000000,154244811,8.0 
6100000,159005423,9.0 
6200000,159963802,9.0 
6300000,161545526,9.0 
6400000,163547350,10.0 
6500000,173128081,10.0 
6600000,179368951,9.0 
6700000,173565250,9.0 
6800000,175557606,9.0 
6900000,174830071,10.0 
7000000,181834308,9.0 
7100000,182675643,10.0 
7200000,184391377,10.0 
7300000,189986108,10.0 
7400000,193928417,12.0 
7500000,194625466,13.0 
7600000,204998817,12.0 
7700000,204251935,13.0 
7800000,205960862,13.0 
7900000,216507432,13.0 
8000000,208311554,13.0 
8100000,209541102,15.0 
8200000,213832421,15.0 
8300000,222673368,12.0 
8400000,218468138,11.0 
8500000,223812633,13.0 
8600000,224221083,13.0 
8700000,227941686,11.0 
8800000,236941953,13.0 
8900000,231969550,13.0 
9000000,236329585,12.0 
9100000,241785297,14.0 
9200000,244554000,14.0 
9300000,243089270,14.0 
9400000,249097491,14.0 
9500000,252828347,15.0 
9600000,263962265,15.0 
9700000,255379307,14.0 
9800000,258590687,15.0 
9900000,265719384,14.0 
10000000,263371662,14.0 
