n,comparison,runtime
10000,123869,73.0 
10000,163466,85.0 
10000,153768,52.0 
10000,152159,68.0 
10000,153485,70.0 
10000,151186,43.0 
10000,148478,38.0 
10000,152027,50.0 
10000,148912,79.0 
10000,154828,71.0 
10000,155928,73.0 
10000,152356,44.0 
10000,143819,40.0 
10000,155429,91.0 
10000,149968,111.0 
10000,149041,92.0 
10000,141152,48.0 
10000,150242,114.0 
10000,150789,75.0 
10000,146638,78.0 
10000,147584,76.0 
10000,147778,77.0 
10000,147167,87.0 
10000,145257,109.0 
10000,151415,167.0 
10000,148792,88.0 
10000,152606,132.0 
10000,145104,86.0 
10000,149404,43.0 
10000,146983,110.0 
10000,142211,49.0 
10000,146526,84.0 
10000,146685,152.0 
10000,144301,92.0 
10000,141874,150.0 
10000,146146,100.0 
10000,147082,155.0 
10000,147700,105.0 
10000,148769,54.0 
10000,147196,75.0 
10000,142860,134.0 
10000,147463,66.0 
10000,144889,107.0 
10000,144643,53.0 
10000,146940,72.0 
10000,150395,43.0 
10000,145813,53.0 
10000,159810,178.0 
10000,146533,119.0 
10000,151199,51.0 
10000,143578,42.0 
10000,148479,149.0 
10000,143159,96.0 
10000,142570,154.0 
10000,147508,40.0 
10000,144989,87.0 
10000,145355,61.0 
10000,145310,88.0 
10000,150718,81.0 
10000,148410,45.0 
10000,149711,106.0 
10000,146296,74.0 
10000,149990,39.0 
10000,144347,76.0 
10000,148251,84.0 
10000,145778,131.0 
10000,143954,72.0 
10000,146211,55.0 
10000,146271,47.0 
10000,144405,96.0 
10000,147788,36.0 
10000,149608,69.0 
10000,147156,64.0 
10000,145445,64.0 
10000,143125,55.0 
10000,146504,74.0 
10000,146321,53.0 
10000,146639,44.0 
10000,146758,34.0 
10000,141847,60.0 
10000,145426,71.0 
10000,145533,127.0 
10000,144238,70.0 
10000,146645,107.0 
10000,148017,124.0 
10000,156100,95.0 
10000,146711,124.0 
10000,147917,102.0 
10000,150709,80.0 
10000,146657,131.0 
10000,143280,52.0 
10000,143969,99.0 
10000,145978,119.0 
10000,151245,129.0 
10000,149009,121.0 
10000,145052,104.0 
10000,156561,84.0 
10000,146312,49.0 
10000,147695,52.0 
10000,151616,164.0 
