n,comparison,runtime
10000,9999,5.0 
10000,262235,17.0 
10000,508526,39.0 
10000,762664,29.0 
10000,1009850,28.0 
10000,1270345,44.0 
10000,1501908,53.0 
10000,1748607,28.0 
10000,1989677,42.0 
10000,2248241,48.0 
10000,2518593,55.0 
10000,2750902,35.0 
10000,2937059,67.0 
10000,3145235,77.0 
10000,3459961,96.0 
10000,3656564,40.0 
10000,3906301,106.0 
10000,4208540,90.0 
10000,4315133,114.0 
10000,4542375,131.0 
10000,5021112,117.0 
10000,5071946,120.0 
10000,5212044,114.0 
10000,5445315,125.0 
10000,5855845,160.0 
10000,6204525,186.0 
10000,6291529,94.0 
10000,6319340,122.0 
10000,6479521,171.0 
10000,6721536,198.0 
10000,6985245,96.0 
10000,7379746,160.0 
10000,7769467,196.0 
10000,8144340,203.0 
10000,8323914,282.0 
10000,8401437,202.0 
10000,8581784,149.0 
10000,8605870,181.0 
10000,8565313,132.0 
10000,8741704,143.0 
10000,9027659,197.0 
10000,9169138,178.0 
10000,9593587,244.0 
10000,9684746,201.0 
10000,10131301,195.0 
10000,10255251,218.0 
10000,10654441,242.0 
10000,11072695,281.0 
10000,11614855,225.0 
10000,12194940,267.0 
10000,12486149,221.0 
10000,12510769,234.0 
10000,12564938,355.0 
10000,12672800,291.0 
10000,12650545,219.0 
10000,12509903,209.0 
10000,12569477,222.0 
10000,12835905,234.0 
10000,13057647,198.0 
10000,12944705,242.0 
10000,12993051,310.0 
10000,12998393,286.0 
10000,13213981,337.0 
10000,13338443,298.0 
10000,13355721,338.0 
10000,13537681,260.0 
10000,13678980,305.0 
10000,14072271,259.0 
10000,14178996,304.0 
10000,14334140,271.0 
10000,14517704,297.0 
10000,14768419,295.0 
10000,15099454,278.0 
10000,15143633,292.0 
10000,15430113,332.0 
10000,15445081,317.0 
10000,15831434,352.0 
10000,16280495,337.0 
10000,16418981,393.0 
10000,16688208,477.0 
10000,17177466,416.0 
10000,17269367,396.0 
10000,17775588,352.0 
10000,18042187,451.0 
10000,18170250,461.0 
10000,18816156,386.0 
10000,19039575,430.0 
10000,19476935,410.0 
10000,19806023,472.0 
10000,20301368,533.0 
10000,20491058,376.0 
10000,20907150,450.0 
10000,21169454,524.0 
10000,21812908,472.0 
10000,22166051,475.0 
10000,22654969,466.0 
10000,23227042,545.0 
10000,23324622,521.0 
10000,24085798,586.0 
10000,24571613,539.0 
