n,comparison,runtime
100,579,0.0 
200,2276,1.0 
300,4825,1.0 
400,8540,3.0 
500,12821,4.0 
600,18682,5.0 
700,24261,6.0 
800,32475,4.0 
900,40130,5.0 
1000,50906,3.0 
1100,60029,4.0 
1200,71970,4.0 
1300,86303,6.0 
1400,102056,7.0 
1500,116149,9.0 
1600,134756,10.0 
1700,146174,11.0 
1800,158658,8.0 
1900,182373,9.0 
2000,196309,12.0 
2100,223498,9.0 
2200,241236,9.0 
2300,270856,13.0 
2400,288178,16.0 
2500,320269,18.0 
2600,338973,13.0 
2700,375570,12.0 
2800,389276,14.0 
2900,424908,15.0 
3000,462831,15.0 
3100,481092,15.0 
3200,515087,11.0 
3300,551030,25.0 
3400,573745,19.0 
3500,613927,24.0 
3600,643818,18.0 
3700,688261,20.0 
3800,733558,14.0 
3900,768812,12.0 
4000,796482,20.0 
4100,847430,17.0 
4200,880795,20.0 
4300,929882,28.0 
4400,960083,31.0 
4500,1019080,24.0 
4600,1038988,26.0 
4700,1113122,94.0 
4800,1173286,22.0 
4900,1207358,18.0 
5000,1266256,19.0 
5100,1309837,20.0 
5200,1363313,35.0 
5300,1384864,17.0 
5400,1475300,19.0 
5500,1535693,22.0 
5600,1601959,26.0 
5700,1635106,26.0 
5800,1675582,33.0 
5900,1742814,23.0 
6000,1815126,23.0 
6100,1848558,23.0 
6200,1928613,26.0 
6300,1950575,28.0 
6400,2081434,28.0 
6500,2123545,33.0 
6600,2201655,27.0 
6700,2232769,33.0 
6800,2329102,30.0 
6900,2370211,27.0 
7000,2470999,26.0 
7100,2540491,49.0 
7200,2599439,54.0 
7300,2683172,32.0 
7400,2733330,39.0 
7500,2855988,56.0 
7600,2893672,64.0 
7700,2940507,72.0 
7800,3044586,63.0 
7900,3166731,63.0 
8000,3211686,46.0 
8100,3302407,44.0 
8200,3390838,70.0 
8300,3473703,70.0 
8400,3531282,56.0 
8500,3633072,66.0 
8600,3694497,41.0 
8700,3813921,37.0 
8800,3927002,39.0 
8900,3997891,62.0 
9000,4032457,47.0 
9100,4128329,71.0 
9200,4259080,85.0 
9300,4313303,67.0 
9400,4467034,51.0 
9500,4534785,57.0 
9600,4588422,64.0 
9700,4686076,69.0 
9800,4729063,57.0 
9900,4885340,57.0 
10000,5012460,74.0 
