n,comparison,runtime
10000,62742,44.0 
10000,89768,23.0 
10000,94678,11.0 
10000,98115,25.0 
10000,100157,10.0 
10000,101275,21.0 
10000,103372,24.0 
10000,103988,15.0 
10000,104268,50.0 
10000,105446,34.0 
10000,106120,31.0 
10000,105975,17.0 
10000,109404,56.0 
10000,106487,59.0 
10000,108186,45.0 
10000,108360,12.0 
10000,108740,20.0 
10000,109835,19.0 
10000,110198,27.0 
10000,108833,88.0 
10000,110847,15.0 
10000,111098,11.0 
10000,111193,86.0 
10000,112834,14.0 
10000,114482,74.0 
10000,110931,84.0 
10000,111160,9.0 
10000,111584,44.0 
10000,112075,65.0 
10000,112202,24.0 
10000,111973,24.0 
10000,113315,42.0 
10000,112405,33.0 
10000,113505,15.0 
10000,114686,120.0 
10000,114759,42.0 
10000,115332,41.0 
10000,116415,88.0 
10000,113614,43.0 
10000,114088,38.0 
10000,114584,14.0 
10000,114636,18.0 
10000,115458,65.0 
10000,116110,16.0 
10000,115380,56.0 
10000,116278,58.0 
10000,117010,69.0 
10000,117291,30.0 
10000,118281,103.0 
10000,119233,32.0 
10000,115904,10.0 
10000,115953,19.0 
10000,115870,147.0 
10000,116199,84.0 
10000,116059,81.0 
10000,116136,12.0 
10000,116321,10.0 
10000,116011,30.0 
10000,116100,15.0 
10000,116404,40.0 
10000,116448,15.0 
10000,116563,68.0 
10000,116941,41.0 
10000,115955,48.0 
10000,116092,46.0 
10000,116330,17.0 
10000,116299,41.0 
10000,116660,69.0 
10000,116743,11.0 
10000,116577,22.0 
10000,116852,14.0 
10000,117137,62.0 
10000,117161,22.0 
10000,117590,53.0 
10000,117788,64.0 
10000,115853,52.0 
10000,115957,75.0 
10000,116130,14.0 
10000,116400,47.0 
10000,116404,12.0 
10000,116540,14.0 
10000,116940,38.0 
10000,116742,14.0 
10000,116916,13.0 
10000,117223,19.0 
10000,117371,14.0 
10000,117661,58.0 
10000,117922,24.0 
10000,117335,21.0 
10000,117665,26.0 
10000,117737,19.0 
10000,117895,42.0 
10000,118323,90.0 
10000,118656,17.0 
10000,118430,107.0 
10000,118806,87.0 
10000,119276,152.0 
10000,119348,103.0 
10000,119935,81.0 
10000,120358,24.0 
