n,comparison,runtime
100000,1839424,0.0 
200000,3885889,0.0 
300000,6156220,0.0 
400000,8728536,0.0 
500000,10641161,0.0 
600000,12704974,0.0 
700000,15436332,0.0 
800000,17615491,1.0 
900000,20497148,1.0 
1000000,22779575,1.0 
1100000,24468081,1.0 
1200000,27504828,2.0 
1300000,29872396,2.0 
1400000,32116337,2.0 
1500000,35224798,2.0 
1600000,37114609,3.0 
1700000,40657033,3.0 
1800000,42131110,3.0 
1900000,45247151,4.0 
2000000,47387339,10.0 
2100000,50145890,4.0 
2200000,52242106,4.0 
2300000,55106791,5.0 
2400000,58870767,5.0 
2500000,59616025,5.0 
2600000,63808672,6.0 
2700000,66676424,6.0 
2800000,68629215,6.0 
2900000,69865641,6.0 
3000000,73803697,6.0 
3100000,74653354,7.0 
3200000,79232302,7.0 
3300000,80180565,8.0 
3400000,83180387,8.0 
3500000,85154408,9.0 
3600000,91011937,9.0 
3700000,90499247,9.0 
3800000,94193677,9.0 
3900000,97726030,10.0 
4000000,101019140,11.0 
4100000,102822982,10.0 
4200000,104925624,11.0 
4300000,108292660,11.0 
4400000,113744259,12.0 
4500000,119205346,11.0 
4600000,118282795,12.0 
4700000,118037541,17.0 
4800000,122199877,16.0 
4900000,124539795,17.0 
5000000,127333575,17.0 
 
5200000,133274998,17.0 
5300000,135818279,17.0 
5400000,135631975,18.0 
5500000,138074571,17.0 
5600000,143947249,18.0 
5700000,147080799,18.0 
5800000,147287928,20.0 
5900000,149709731,20.0 
 
6100000,155477988,28.0 
6200000,158532711,24.0 
