n,comparison,runtime
10000,154578,65.0 
20000,332962,70.0 
30000,505994,86.0 
40000,685746,92.0 
50000,931716,125.0 
60000,1120345,126.0 
70000,1322208,154.0 
80000,1562918,105.0 
90000,1770528,104.0 
100000,1934358,152.0 
110000,2178132,137.0 
120000,2337018,203.0 
130000,2581577,204.0 
140000,2827048,202.0 
150000,3141460,217.0 
160000,3251056,263.0 
170000,3482467,188.0 
180000,3914241,218.0 
190000,4005452,241.0 
200000,4136563,237.0 
210000,4424112,368.0 
220000,4737527,238.0 
230000,5034757,216.0 
240000,5282599,345.0 
250000,5233199,351.0 
260000,5486347,344.0 
270000,5872196,347.0 
280000,6115860,315.0 
290000,6305213,335.0 
300000,6591024,334.0 
310000,6968728,344.0 
320000,7191344,310.0 
330000,7385010,262.0 
340000,7428245,334.0 
350000,7747248,242.0 
360000,8028889,261.0 
370000,8327879,265.0 
380000,8305631,449.0 
390000,8948151,259.0 
400000,9238714,319.0 
410000,9574745,307.0 
420000,9824325,317.0 
430000,10059538,347.0 
440000,9969349,392.0 
450000,10574299,439.0 
460000,10644333,399.0 
470000,10692677,452.0 
480000,10800751,365.0 
490000,11317658,281.0 
500000,11305357,301.0 
510000,12185888,488.0 
520000,12194558,303.0 
530000,11772118,304.0 
540000,12848451,305.0 
550000,12397654,499.0 
560000,13105857,402.0 
570000,13491478,352.0 
580000,13729546,395.0 
590000,14376772,415.0 
600000,14137588,412.0 
610000,13969022,386.0 
620000,14608422,482.0 
630000,14860724,424.0 
640000,15203860,483.0 
650000,16022631,472.0 
660000,15532726,496.0 
670000,15866321,503.0 
680000,16874366,556.0 
690000,16504946,506.0 
700000,16872433,604.0 
710000,17150869,574.0 
720000,17084772,617.0 
730000,17550667,781.0 
740000,18093136,684.0 
750000,17878232,643.0 
760000,18509199,742.0 
770000,18187489,756.0 
780000,19557025,739.0 
790000,19133408,666.0 
800000,20262382,658.0 
810000,19596816,694.0 
820000,20354770,493.0 
830000,19949582,393.0 
840000,20349757,463.0 
850000,21368339,440.0 
860000,20830887,439.0 
870000,21242330,478.0 
880000,21543878,492.0 
890000,22162864,488.0 
900000,21940866,503.0 
910000,22454267,541.0 
920000,22082681,536.0 
930000,22479139,527.0 
940000,23130859,649.0 
950000,22804763,671.0 
960000,23126766,556.0 
970000,23696736,586.0 
980000,24350854,881.0 
990000,24409486,646.0 
1000000,24738794,704.0 
